Taste ID,인테리어 스타일,메이트 구성,우선순위,예산,Logic ID,추천 개수,KITCHEN 추천,TV 추천,LIVING 추천,평균 점수,최고 점수
1,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),1,10,10,0,0,0.596,0.600
2,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),2,10,8,2,0,0.806,0.830
3,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),3,10,10,0,0,0.596,0.600
4,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,500만원 미만 (실속형),4,10,10,0,0,0.596,0.600
5,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",5,10,0,10,0,0.710,0.710
6,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",6,10,0,10,0,0.570,0.570
7,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",7,10,0,10,0,0.710,0.710
8,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"500만원 ~ 1,500만원 (표준형)",6,10,0,10,0,0.570,0.570
9,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",8,10,10,0,0,0.650,0.650
10,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",9,10,10,0,0,0.650,0.650
11,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",10,10,10,0,0,0.830,0.830
12,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"1,500만원 ~ 3,000만원 (고급형)",10,10,10,0,0,0.830,0.830
13,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",11,10,10,0,0,0.830,0.830
14,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",1,10,10,0,0,0.720,0.720
15,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",12,10,10,0,0,0.680,0.680
16,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),인테리어를 완성하는 디자인,"3,000만원 이상 (하이엔드)",13,10,10,0,0,0.720,0.720
17,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),14,10,8,2,0,0.806,0.830
18,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),14,10,8,2,0,0.806,0.830
19,모던 & 미니멀 (Modern & Minimal),나 혼자 산다 (1인 가구),삶을 편하게 해주는 AI/스마트 기능,500만원 미만 (실속형),15,10,10,0,0,0.596,0.600
