user_id,household_size,space_type,space_purpose,space_sqm,space_size_cat,style_pref,cooking_freq,laundry_pattern,media_pref,pet,budget_range,payment_pref,recommended_fridge_l,recommended_washer_kg,recommended_tv_inch,recommended_vacuum,recommended_oven,purchased_items
user_0001,2인,원룸,,23,작음,모던,거의 안 함,주 1회,일반 TV 시청,무,300~500만원,일시불,300,8,43.0,스틱,전자레인지,"냉장고,세탁기,TV,청소기"
user_0002,1인,아파트,전체,95,큼,모던,거의 안 함,주 2~3회,영화/OTT 중심,유,500만원 이상,일시불,150,9,55.0,스틱(펫모드),전자레인지,"냉장고,TV,청소기,공기청정기,식기세척기"
user_0003,2인,원룸,,18,작음,모던,자주,주 2~3회,영화/OTT 중심,유,100만원대,일시불,250,9,65.0,로봇+스틱,빌트인 오븐,"냉장고,세탁기,TV,조리기기,식기세척기"
user_0004,1인,주택,전체,152,큼,내추럴,가끔,주 1회,일반 TV 시청,무,500만원 이상,아직 잘 모름,180,8,43.0,스틱,전자레인지+인덕션,"냉장고,세탁기,TV"
user_0005,1인,아파트,방,112,큼,인더스트리얼,가끔,주 1회,영화/OTT 중심,유,100만원대,일시불,150,6,50.0,로봇+스틱,전기오븐,"냉장고,TV,청소기,조리기기,공기청정기"
user_0006,3~4인,오피스텔,방,36,중간,미니멀,거의 안 함,주 2~3회,게임 중심,무,100만원대,일시불,350,9,65.0,무선청소기,전자레인지,"세탁기,TV,공기청정기"
user_0007,2인,아파트,전체,74,큼,모던,거의 안 함,주 1회,일반 TV 시청,유,200~300만원,일시불,300,6,50.0,스틱(펫모드),전자레인지,"세탁기,청소기,공기청정기,식기세척기"
user_0008,1인,오피스텔,기타,34,중간,클래식,거의 안 함,주 1회,영화/OTT 중심,유,500만원 이상,혼합,180,8,65.0,로봇+스틱,전자레인지,"냉장고,세탁기,TV,청소기,공기청정기"
user_0009,3~4인,오피스텔,방,28,작음,인더스트리얼,거의 안 함,주 2~3회,영화/OTT 중심,무,200~300만원,일시불,350,9,55.0,스틱,전자레인지,"냉장고,세탁기,TV,청소기,공기청정기"
user_0010,1인,아파트,거실,48,중간,미니멀,거의 안 함,주 1회,영화/OTT 중심,무,300~500만원,일시불,200,6,65.0,스틱,전자레인지,"냉장고,세탁기,TV,공기청정기"
user_0011,1인,아파트,거실,54,중간,미니멀,자주,주 1회,일반 TV 시청,무,100만원대,렌탈,150,7,50.0,로봇,빌트인 오븐,"세탁기,TV,식기세척기"
user_0012,3~4인,아파트,전체,57,중간,내추럴,자주,주 1회,영화/OTT 중심,무,300~500만원,일시불,300,8,55.0,로봇,전자레인지+인덕션,"냉장고,세탁기,건조기,TV,공기청정기"
user_0013,3~4인,주택,방,119,큼,클래식,가끔,주 2~3회,영화/OTT 중심,유,500만원 이상,아직 잘 모름,350,8,55.0,스틱(펫모드),전기오븐,"냉장고,TV,청소기,조리기기"
user_0014,3~4인,주택,드레스룸,58,중간,모던,거의 안 함,주 2~3회,,유,100만원대,렌탈,300,8,,스틱(펫모드),전자레인지,"냉장고,세탁기"
user_0015,3~4인,주택,거실,55,중간,미니멀,가끔,주 2~3회,영화/OTT 중심,무,200~300만원,렌탈,350,9,65.0,스틱,전기오븐,"냉장고,TV,청소기,조리기기,식기세척기"
user_0016,2인,아파트,거실,64,중간,내추럴,가끔,주 1회,일반 TV 시청,무,100만원대,렌탈,200,8,55.0,무선청소기,전자레인지+인덕션,"냉장고,세탁기,TV,청소기,조리기기"
user_0017,1인,원룸,,22,작음,인더스트리얼,자주,주 1회,영화/OTT 중심,무,200~300만원,일시불,180,8,55.0,로봇,빌트인 오븐,TV
user_0018,2인,기타,방,49,중간,모던,거의 안 함,주 1회,일반 TV 시청,유,300~500만원,일시불,200,6,43.0,스틱(펫모드),전자레인지,"냉장고,세탁기,TV,청소기"
user_0019,1인,아파트,드레스룸,76,큼,클래식,자주,주 2~3회,,무,100만원대,일시불,150,9,,로봇,빌트인 오븐,"청소기,조리기기,공기청정기"
user_0020,2인,아파트,드레스룸,88,큼,모던,거의 안 함,주 2~3회,,무,200~300만원,아직 잘 모름,250,10,,스틱,전자레인지,"세탁기,식기세척기"
user_0021,2인,주택,드레스룸,56,중간,클래식,거의 안 함,주 1회,,무,300~500만원,일시불,300,6,,스틱,전자레인지,"냉장고,세탁기"
user_0022,1인,아파트,서재,25,작음,모던,자주,주 2~3회,게임 중심,무,200~300만원,일시불,150,9,55.0,스틱,빌트인 오븐,"냉장고,세탁기,TV"
user_0023,1인,원룸,,19,작음,모던,가끔,주 2~3회,영화/OTT 중심,무,200~300만원,렌탈,180,8,55.0,로봇,전자레인지+인덕션,"냉장고,청소기,조리기기,식기세척기"
user_0024,3~4인,주택,드레스룸,151,큼,내추럴,자주,매일,,무,300~500만원,렌탈,350,10,,무선청소기,전자레인지+인덕션,"냉장고,세탁기,건조기,청소기,조리기기"
user_0025,2인,주택,방,75,큼,모던,거의 안 함,주 1회,게임 중심,무,300~500만원,일시불,250,6,65.0,스틱,전자레인지,"냉장고,세탁기,TV,청소기"
user_0026,3~4인,아파트,주방,48,중간,인더스트리얼,가끔,주 2~3회,,유,300~500만원,혼합,400,9,,로봇+스틱,전기오븐,"냉장고,세탁기,조리기기,공기청정기,식기세척기"
