제품군,항목명,설명
안마의자,허벅지,허벅지를 집중적으로 자극하여 근육을 이완시켜주는 안마 코스입니다.
안마의자,모션,"몸의 굴곡에 따라 안마볼이 이동하며 두드림, 주무름, 혼합, 롤링 동작으로 구석구석 꼼꼼하게 안마합니다."
안마의자,목,"목, 어깨를 집중적으로 자극하여 근육을 이완시켜주는 안마 코스입니다."
안마의자,어깨,"목, 어깨를 집중적으로 자극하여 근육을 이완시켜주는 안마 코스입니다."
안마의자,등,등을 집중적으로 자극하여 근육을 이완시켜주는 안마 코스입니다.
안마의자,허리,허리를 집중적으로 자극하여 근육을 이완시켜주는 안마 코스입니다.
안마의자,엉덩이,엉덩이를 집중적으로 자극하여 근육을 풀어주는 안마 코스입니다.
안마의자,종아리,종아리에 온열기능이 있어 찜질효과와 함께 빠른 피로회복을 도와줍니다.
안마의자,팔,팔을 집중적으로 자극하는 부분 안마 코스입니다.
안마의자,발목,발목을 집중적으로 자극하는 부분 안마 코스입니다.
안마의자,손,손을 집중적으로 자극하는 부분 안마 코스입니다.
안마의자,발바닥,발바닥을 집중적으로 자극하여 발을 풀어주는 안마 코스입니다.
안마의자,전신코스 (자동),수동 코스 작동 시 안마 볼이 전신 범위로 움직이도록 선택할 수 있습니다.
안마의자,내마음코스,"내가 원하는대로 설정하여 원하는 부위, 안마동작, 다양한 안마설정을 선택해 나에게 딱 맞는 MY코스를 만들 수 있습니다."
안마의자,퀵스타트 기능,퀵스타트 기능은 자주 사용하는 자동코스를 등록하여 메뉴를 통하지 않고 버튼 하나로 바로 실행하는 기능 입니다.
안마의자,메모리 기능,"이전에 실행한 안마의 각부분의 설정을 저장하며, 다음 사용시 저장된 설정을 불러오는 기능입니다. 저장되는 설정은 종료하기 바로 전의 동작 상태가 저장됩니다"
안마의자,무중력 모드,신체 무게가 균등하게 분산되어 근육 부담을 감소시켜 안마에 최적화된 자세를 구현합니다.
안마의자,스페이스 세이빙,의자를 젖혀도 앞으로 슬라이딩 되어 설치공간을 절약할 수 있습니다.
안마의자,체형인식,자동 코스 안마를 시작하면 안마볼이 움직이며 사용자의 체형을 자동으로 측정해 어깨위치를 감지합니다.
안마의자,휴대폰거치대(수납),휴대기기 충전이 가능한 USB 포트와 휴대기기 거치 공간이 있어 편리한 사용이 가능합니다. (충전 케이블은 제공되지 않습니다.)
안마의자,바디프레임,"S자 구간과 L자형 구간을 가진 일체형 프레임으로 밀착감을 높여 안마해 줍니다. 목에서 허리까지 척추의 굴곡에 맞춘 S자형의 프레임으로 맞춤안마가 가능하며, 허리에서 엉덩이까지 인체의 형태에 맞춘 L자형 프레임에 허벅지까지 안마범위를 확장해 더 넓은 부위를 안마해 줍니다."
안마의자,신체정보측정,사용자의 키나 체형 등 신체적 특성을 자동으로 측정하고 알아서 체형에 맞추어 안마를 해줍니다.
안마의자,안심설정,반려동물이나 호기심 많은 아이들이 리모컨을 조작해도 안마의자가 동작하지 않도록 설계된 안심설정 기능으로 걱정 없이 사용할 수 있습니다.
안마의자,지문인식,사용자가 사전에 저장한 안마코스(내마음 코스)를 리모콘에 있는 지문 인식을 통해 간단하게 실행할 수 있는 LG Healing Me만의 기능입니다.
안마의자,등/허리,등과 허리에 온열기능이 있어 찜질효과와 함께 빠른 피로회복을 도와줍니다.
안마의자,온도 조절범위,"리모컨으로 온열기능을 설정할 수 있으며, 등/허리 부분 온열 ON/OFF가 가능합니다. "
안마의자,간편 조작부,"팔 상단에 위치한 간편버튼으로 안마 중 손쉽게 조작할 수 있어, 휴식의 완성도를 높여줍니다."
안마의자,긴급(일시)정지,일시정지 버튼을 누르면 안마 중일 때는 안마가 정지하고 다시 누르면 안마가 시작됩니다.
안마의자,사용이력 분석,"자주 사용하는 코스, 사용 빈도, 사용 시간을 한눈에 체크할 수 있습니다."
안마의자,스마트 진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
