model_name,recommend_reason
AS235DWSA,"많은 사용자 리뷰에서 'LG 공기청정기를 들이고 나니 집안 공기가 훨씬 상쾌해졌어요. 1등급 제품이라 전기요금 걱정도 덜하고, 무엇보다 깔끔한 하얀색 디자인이라 집안 분위기랑 잘 어울려 더 만족스럽습니다. 서비스 기사님도 설치부터 사용 설명까지 친절하게 해주셔서 기분 좋게 시작할 수 있었어요. 전반적으로 성능도 디자인도 마음에 쏙 드는 제품이라 추천드리고 싶습니다. / LG퓨리케어 공기청정기 좋은건 말 안해도 다 알죠! 신혼집에 필수가전으로 구매했어요~때마침 에너지효율 1등급 환급도 받을 거라 더 기분좋은 소비네요~기사님도 정확한 시간에 친절하게 배송해주셔서 감사드려요~이제 하루 종일 신선한 공기 마시면서 살수 있어서 행복합니다~ㅎㅎ / 신혼집 입주하면서 구입했어요ㅎㅎ
신축아파트라 새집증후군 걱정도 되고, 요즘 미세먼지 이슈도 많아서 공기청정기는 필수라고 생각했어요!
열심히 검색하다가 좋은 후기가 많아서 고른 것이 이 제품인데, 기능도 좋고 조작도 편리하고 무엇보다 깔끔한 화이트 색상이라 인테리어도 해치지 않고 너무너무 만족합니다~~' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS355NSNA,"많은 사용자 리뷰에서 '좋아요~
공기청정잘되고. 생각보다조용해요~ / 구입하길 정말 잘한제품중에 하나애요~미세먼지 심한날 집안을 쾌적하게 해주니 좋네요~ / 깔끔하고 이뻐서 너무좋아요!!
공기청정도 잘되네요~' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS355NSNAM,"많은 사용자 리뷰에서 '디자인과 색상 모두 너무 예뻐요
저희집과도 잘어울리고
성능은 계속 써봐야겠지만 벌써부터
공기질이 좋아지는 기분이에요
상태알림창도 자세히 표시되어 좋아요 / 공기청정기 너무 좋아요ㅠㅠ
공기가 맑아지는 기분 ㅎㅎㅎㅎ
디자인도 넘넘 예뻐용 / 공기청정 기능이 잘되어잇어서 너무 좋아요' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS205NSJA,"많은 사용자 리뷰에서 '공기청정기 기능도 좋고 디자인도 이뻐요 / 일단 디자인이 예뻐서 주변 인테리어와 잘 어울려서 좋아요
AI운전 모드로 두면 모든걸 알아서 작동 시켜주니 좋습니다
가동 소음도 거슬리지 않고 좋아서 방마다 구성해서 쓰려고 합니다.

필터를 1년에 한번씩 바꿔야 하는데 구독으로 신경 쓸일 없어서
보내주시면 교환만 할 수 있어서 좋아요 / 성능도 좋고 집안 인테리어에 잘 어울려서 정말 좋습니다.' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS305DWWL,"많은 사용자 리뷰에서 '탈취 기능도 뛰어나고 집안이 상쾌합니다
필터도 고사양으로 호환도 가능하다고하니 좋은것 같아요
선택 잘한것 같아요 / 사용한 지 며칠 되지 않았지만 확실히 공기가 더 맑고 쾌적해진 것을 느낄 수 있었습니다. 디자인도 심플하면서 세련돼서 어느 공간에 두어도 잘 어울리고, 인테리어 효과도 있는 것 같아요. 여러 곳에서 가격을 비교해본 끝에 라이브방송 할 때 구입해서 가장 저렴하게 구매할 수 있었던 것도 만족스러운 부분입니다. 공기질이 걱정되시는 분들께 추천드리고 싶은 제품입니다.
배송도 빠르고 기사님도 친절하세요~~ / 공기청정기를 놓고 싶었는데 괜찮은 제품을 선택한 것같아요! 기사님도 친절하게 잘 알려주셨어요
생각보다 크긴 하나 공기 청정 잘 될 것 같습니다!' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS305DWWLM,"많은 사용자 리뷰에서 '정말 만족스럽습니다.
사용한 지 며칠 되지 않았지만 확실히 공기가 더 맑고 쾌적해진 것을 느낄 수 있었습니다. 디자인도 심플하면서 세련돼서 어느 공간에 두어도 잘 어울리고, 인테리어 효과도 있는 것 같아요. 여러 곳에서 가격을 비교해본 끝에 라이브방송 할 때 구입해서 가장 저렴하게 구매할 수 있었던 것도 만족스러운 부분입니다. 공기질이 걱정되시는 분들께 추천드리고 싶은 제품입니다.
배송도 빠르고 기사님도 친절하세요~~ / 공기청정기 정말마음에 듭니다.
색상 너무이뻐요.
기능면에서도 뛰어납니다.
초미세먼지까지 잡아주고 다양한 기능들이 있어
집환경에 맞게 조작할수있어 너무 편리하고
디자인도 이뻐요.
집인테리어하고 집냄새로 구입했는데 너무잘산것 같아요 . 무게는 좀 무겁고 자리찾지는좀 하지만
든든합니다. 분리하여 세척도 가능해 편리합니다. / 공기청정기랑 세트로 샀는데 여기저기 옮기기도 편하고 좋네요ㅎㅎ' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS183HWFS,"많은 사용자 리뷰에서 '큰 용량 공청기는 너무 커서 작은 용량으로 사봤어요
깔끔하고 크기도 적당하고 잘돌아갑니다
필터가는 것도 편해보이고 만족해요 / 좋아요^^ 일단 제품이 무겁지 않아 이동하기 편하고요 소음도 적고 디자인이 깔끔한 편이에요 아기들 키우거나 노인들에게도 적당한것 같아요 필터교체도 쉽게 이루어지네요 추천합이다 가격도 적당하고요 / 공기청정이 필요해서 샀는데
딱이네요 사이즈도 좋고 성능도 좋아요' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS153HWWC,"많은 사용자 리뷰에서 '뭔가 공기가 맑은 느낌이에요 ㅋㅋㅋ
설치도 편하고 필터 가는것더 편리해서 좋은 것 같아요 / 안방에 둘 용도로 구입했어요
기능에 충실한 제품이고 필터 믿고 주문했는데
가성비제품으로 만족합니다! / 기존 사용하던 공기청정기보다 크기가 작은데 성능은 좋은것 같아요~ 크기가 작아서 선반에 올려 놓으니 딱 안성맞춤이에요 ㅎㅎ
필터덮개도 함께 있으니 물세척도 가능해서 더욱 좋아요~~
잘 사용하겠습니다~^^' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS155GWDL,"많은 사용자 리뷰에서 '공기청정기 디자인 우수하고 성능도 준수한 편이고 적당한 사이즈에 깔끔함에 빠졌어요. 너무 좋습니당 / 일단 디쟌이 너무심플 깔끔하면서 고급미가 있어요
소음이 거의없어 놀랐고 무드등도 엘지띵큐연결하면 다양한색이있어 변경도되고 자리차지도않고
너무 만족하며 사용중입니다
필터도 교체하기쉽게되어있어 그부분도 좋았어요
기능또한 터치로 조작이쉽고 간편하게되어있어
너무만족합니다^^ / 부피도적고 디자인도 이뻐서 심미적으로 매우 만족하지만
공기청정기능도 좋은거같아서.맘에듭니다' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
AS183HWWA,"많은 사용자 리뷰에서 '공기청정기 주변에서 추천받아서 사용중인데 냄새도 잘잡아주고 필터교체도 편리하고 디자인도 깔끔하고 좋아서 구입후 만족하는 제품이에요 / 방에 사용하려고 구매했는데 사이즈도 적당하고 성능도 좋은것 같아요.
도착하자마자 작동해 보는데 청정도 잘 되는것 같고 공기도 나쁘지 않아요^^ / 가성비 좋다는 저렴이 쓰다가 오래 되기도 하고 마침 할인 행사도 하길래 구매했는데 사이즈도 딱 좋고 인테리어도 되고 1석2조네요
성능은 자동 모드 틀어 놓으니 공기 질에 맞게 알아서 조절하면서 작동되니 신경 안 써도 되고 좋습니다' 라는 의견이 반복적으로 나타나 이 모델을 추천할 만합니다."
